SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;GOLOSINAS;;;2;160
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;HOGAR;;;15;124
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;JUGUETERIA;;;1;13
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;PACER;;;2;504
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;PASEO;;;3;7
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;ROPA;;;3;383
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;SUPERMERCADO;;;1;144
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;VERANO;;;4;24
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;BEBE;;;3;8
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;BELLEZA;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;CALZADO;;;12;162
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;CUIDADO PERSONAL;;;19;202
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;DEPORTIVA;;;5;60
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;GOLOSINAS;;;4;320
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;HOGAR;;;10;182
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;PACER;;;1;168
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;PASEO;;;2;2
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;ROPA;;;2;185
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GRACIAS  #1-AEC;VERANO;;;2;26
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;CALZADO;;;3;36
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;CUIDADO PERSONAL;;;12;95
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;DEPORTIVA;;;4;103
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;GOLOSINAS;;;3;240
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;HOGAR;;;4;105
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;JUGUETERIA;;;2;44
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;PASEO;;;4;4
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;ROPA;;;3;265
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;GUAIMACA-AEC;VERANO;;;2;14
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;BEBE;;;3;9
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;BELLEZA;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;CALZADO;;;7;90
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;CUIDADO PERSONAL;;;22;245
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;DEPORTIVA;;;2;42
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;ESCOLAR;;;1;120
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;GOLOSINAS;;;4;456
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;HOGAR;;;14;155
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;INTERIOR DETALLE;;;2;531
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;JUGUETERIA;;;1;27
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;PACER;;;1;236
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;ROPA;;;2;299
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;INTIBUCA-AEC;VERANO;;;2;26
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;BEBE;;;2;4
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;BELLEZA;;;1;3
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;CALZADO;;;4;48
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;CUIDADO PERSONAL;;;11;117
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;DEPORTIVA;;;3;87
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;ESCOLAR;;;1;84
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;GOLOSINAS;;;2;160
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;HOGAR;;;6;81
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;INTERIOR DETALLE;;;1;108
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;JUGUETERIA;;;1;38
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;PACER;;;1;195
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;PASEO;;;1;1
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;ROPA;;;2;288
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;JESUS DE OTORO-AEC;VERANO;;;2;32
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;ACCESORIOS;;;1;1,303
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;BEBE;;;3;9
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;BELLEZA;;;4;609
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;CALZADO;;;5;90
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;CUIDADO PERSONAL;;;22;546
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;DEPORTIVA;;;8;120
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;GOLOSINAS;;;4;456
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;HOGAR;;;15;744
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;INTERIOR DETALLE;;;1;276
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;JUGUETERIA;;;2;47
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;PACER;;;1;153
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;PASEO;;;1;4
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;ROPA;;;4;503
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA CEIBA-AEC;VERANO;;;4;45
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;BEBE;;;3;6
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;BELLEZA;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;CALZADO;;;7;84
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;CUIDADO PERSONAL;;;19;182
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;DEPORTIVA;;;1;6
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;ESCOLAR;;;1;120
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;HOGAR;;;3;45
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;INTERIOR DETALLE;;;1;152
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;PACER;;;1;254
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;PASEO;;;1;1
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;ROPA;;;3;180
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LA PAZ-AEC;VERANO;;;2;38
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;BEBE;;;1;2
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;CALZADO;;;4;54
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;CUIDADO PERSONAL;;;8;81
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;DEPORTIVA;;;3;63
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;GOLOSINAS;;;2;160
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;HOGAR;;;3;16
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;ROPA;;;1;179
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;SUPERMERCADO;;;1;144
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;LAS VEGAS-AEC;VERANO;;;1;30
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;CALZADO;;;6;78
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;CUIDADO PERSONAL;;;14;124
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;DEPORTIVA;;;2;16
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;ESCOLAR;;;1;132
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;GOLOSINAS;;;3;240
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;HOGAR;;;7;148
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;INTERIOR DETALLE;;;1;200
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;JUGUETERIA;;;3;37
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;PACER;;;1;168
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;PASEO;;;4;7
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;ROPA;;;2;198
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MARCALA-AEC;VERANO;;;2;20
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO COMAYAGUELA AEC;HOGAR;;;1;96
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO COMAYAGUELA AEC;ROPA;;;1;72
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO COMAYAGUELA AEC;VERANO;;;4;39
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;CALZADO PLASTICO;;;2;132
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;HOGAR;;;2;144
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;VERANO;;;4;6
